species_id	species_code	species_name	binding_affinity
1	human	人类	206.0000
1	human	人类	204.0100
1	human	人类	230.9900
1	human	人类	173.0000
1	human	人类	181.9900
1	human	人类	167.9900
1	human	人类	179.0100
1	human	人类	217.0100
1	human	人类	195.9900
1	human	人类	195.9900
1	human	人类	181.0000
1	human	人类	201.0000
1	human	人类	183.0000
1	human	人类	199.0000
1	human	人类	210.0100
1	human	人类	194.0200
1	human	人类	178.0100
1	human	人类	217.0000
1	human	人类	179.0000
1	human	人类	176.9900
1	human	人类	202.0100
1	human	人类	200.0100
1	human	人类	186.0100
1	human	人类	167.0100
1	human	人类	175.9900
1	human	人类	162.0100
1	human	人类	179.0100
1	human	人类	194.0200
1	human	人类	171.0000
1	human	人类	169.0000
1	human	人类	206.0100
1	human	人类	202.9800
1	human	人类	223.0100
1	human	人类	199.0000
1	human	人类	185.0000
1	human	人类	213.0100
1	human	人类	186.9900
1	human	人类	204.0100
1	human	人类	209.0100
1	human	人类	153.0100
1	human	人类	153.0100
1	human	人类	153.0100
1	human	人类	153.0000
1	human	人类	191.9900
1	human	人类	195.0000
1	human	人类	153.0000
1	human	人类	153.0000
1	human	人类	188.9900
1	human	人类	152.9900
1	human	人类	152.9900
1	human	人类	193.9900
1	human	人类	167.0000
1	human	人类	167.0000
1	human	人类	182.0100
1	human	人类	196.9900
1	human	人类	216.0000
1	human	人类	218.0000
1	human	人类	201.0000
1	human	人类	182.9900
1	human	人类	165.9900
1	human	人类	193.0000
1	human	人类	204.9900
1	human	人类	184.0100
1	human	人类	201.9900
1	human	人类	249.0100
1	human	人类	162.9900
1	human	人类	201.9900
1	human	人类	156.0000
1	human	人类	182.0100
1	human	人类	169.9900
1	human	人类	152.9900
1	human	人类	166.0100
1	human	人类	153.0000
1	human	人类	163.9900
1	human	人类	159.9900
1	human	人类	177.0000
1	human	人类	167.0000
1	human	人类	160.9900
1	human	人类	184.0100
1	human	人类	195.9900
1	human	人类	185.0100
1	human	人类	181.0100
1	human	人类	183.9900
1	human	人类	171.0100
1	human	人类	278.9900
1	human	人类	220.0100
1	human	人类	190.0100
1	human	人类	179.0100
1	human	人类	168.0000
1	human	人类	289.9900
1	human	人类	247.0100
1	human	人类	247.0100
1	human	人类	178.0100
1	human	人类	204.0000
1	human	人类	208.0100
1	human	人类	211.9900
1	human	人类	152.0100
1	human	人类	152.0000
1	human	人类	152.0000
1	human	人类	152.0000
1	human	人类	154.0000
1	human	人类	151.9900
1	human	人类	151.9900
1	human	人类	162.9900
1	human	人类	197.0000
1	human	人类	185.0000
1	human	人类	183.0100
1	human	人类	169.0100
